# stage,orbits,max_abs_divb,rms_divb
low_sink_10_orbits,0.0,1.3877787807814457e-17,2.10327817383178e-18
low_sink_10_orbits,2.0013734093805837,3.22441726097189e-16,4.8672791556873604e-17
low_sink_10_orbits,4.0027468187611674,3.2476767857034933e-16,4.868939958138609e-17
low_sink_10_orbits,6.000141354564454,3.2477286664715126e-16,4.8689402581878325e-17
low_sink_10_orbits,8.001514763945037,3.2477281370759206e-16,4.868940212206217e-17
low_sink_10_orbits,10.000003489982081,3.2477281370759206e-16,4.868940212424856e-17
zoom_amr_1_orbit,10.250672525351817,3.2477281370759206e-16,4.8689402124248836e-17
zoom_amr_1_orbit,10.501341560721553,3.2477281370759206e-16,4.868940212427578e-17
zoom_amr_1_orbit,10.750021159302639,3.2477281370759206e-16,4.868940212427579e-17
zoom_amr_1_orbit,10.999993891796345,3.2477281370759206e-16,4.8689402124276125e-17
