# Time M1 M2 x1 y1 z1 x2 y2 z2 chi_1_x chi_1_y chi_1_z chi_2_x chi_2_y chi_2_z vx1 vy1 vz1 vx2 vy2 vz2
0.0000000000000000e+00 5.0000000000000000e-01 5.0000000000000000e-01 2.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 -2.0000000000000000e+00 -0.0000000000000000e+00 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 -0.0000000000000000e+00 2.5000000000000000e-01 0.0000000000000000e+00 0.0000000000000000e+00 -2.5000000000000000e-01 0.0000000000000000e+00
2.5132741228718342e-01 5.0000000000000000e-01 5.0000000000000000e-01 1.9990131207314632e+00 6.2821518156256584e-02 0.0000000000000000e+00 -1.9990131207314632e+00 -6.2821518156256584e-02 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 -7.8526897695320730e-03 2.4987664009143290e-01 0.0000000000000000e+00 7.8526897695320730e-03 -2.4987664009143290e-01 0.0000000000000000e+00
5.0265482457436683e-01 5.0000000000000000e-01 5.0000000000000000e-01 1.9960534568565431e+00 1.2558103905862672e-01 0.0000000000000000e+00 -1.9960534568565431e+00 -1.2558103905862672e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 -1.5697629882328340e-02 2.4950668210706789e-01 0.0000000000000000e+00 1.5697629882328340e-02 -2.4950668210706789e-01 0.0000000000000000e+00
7.5398223686155030e-01 5.0000000000000000e-01 5.0000000000000000e-01 1.9911239292061600e+00 1.8821662663702862e-01 0.0000000000000000e+00 -1.9911239292061600e+00 -1.8821662663702862e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 -2.3527078329628578e-02 2.4889049115077000e-01 0.0000000000000000e+00 2.3527078329628578e-02 -2.4889049115077000e-01 0.0000000000000000e+00
1.0053096491487337e+00 5.0000000000000000e-01 5.0000000000000000e-01 1.9842294026289558e+00 2.5066646712860846e-01 0.0000000000000000e+00 -1.9842294026289558e+00 -2.5066646712860846e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 -3.1333308391076058e-02 2.4802867532861947e-01 0.0000000000000000e+00 3.1333308391076058e-02 -2.4802867532861947e-01 0.0000000000000000e+00
1.2566370614359170e+00 5.0000000000000000e-01 5.0000000000000000e-01 1.9753766811902755e+00 3.1286893008046168e-01 0.0000000000000000e+00 -1.9753766811902755e+00 -3.1286893008046168e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 -3.9108616260057710e-02 2.4692208514878444e-01 0.0000000000000000e+00 3.9108616260057710e-02 -2.4692208514878444e-01 0.0000000000000000e+00
1.5079644737231006e+00 5.0000000000000000e-01 5.0000000000000000e-01 1.9645745014573774e+00 3.7476262917144920e-01 0.0000000000000000e+00 -1.9645745014573774e+00 -3.7476262917144920e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 -4.6845328646431150e-02 2.4557181268217218e-01 0.0000000000000000e+00 4.6845328646431150e-02 -2.4557181268217218e-01 0.0000000000000000e+00
1.7592918860102840e+00 5.0000000000000000e-01 5.0000000000000000e-01 1.9518335238774949e+00 4.3628648279308502e-01 0.0000000000000000e+00 -1.9518335238774949e+00 -4.3628648279308502e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 -5.4535810349135627e-02 2.4397919048468686e-01 0.0000000000000000e+00 5.4535810349135627e-02 -2.4397919048468686e-01 0.0000000000000000e+00
2.0106192982974673e+00 5.0000000000000000e-01 5.0000000000000000e-01 1.9371663222572624e+00 4.9737977432970948e-01 0.0000000000000000e+00 -1.9371663222572624e+00 -4.9737977432970948e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 -6.2172471791213685e-02 2.4214579028215780e-01 0.0000000000000000e+00 6.2172471791213685e-02 -2.4214579028215780e-01 0.0000000000000000e+00
2.2619467105846507e+00 5.0000000000000000e-01 5.0000000000000000e-01 1.9205873713538861e+00 5.5798221207845844e-01 0.0000000000000000e+00 -1.9205873713538861e+00 -5.5798221207845844e-01 0.0000000000000000e+00 2.9470636671034350e-01 -7.2250593128987439e-01 5.4187944846740577e-01 -6.9218609345011417e-01 2.0860402816304810e-01 6.1633008320900573e-01 -6.9747776509807305e-02 2.4007342141923577e-01 0.0000000000000000e+00 6.9747776509807305e-02 -2.4007342141923577e-01 0.0000000000000000e+00
