# i re im
8.400000000000000000e+01 -3.091196205704693127e-06 -1.014206972461383365e-04
8.500000000000000000e+01 3.841714642098168452e-05 4.199553108652613620e-05
8.600000000000000000e+01 5.807770545143380709e-05 1.266127799200721690e-04
8.700000000000000000e+01 5.123845453336546091e-05 1.585970036972379771e-04
8.800000000000000000e+01 2.706438524961864807e-05 1.686667155377070894e-04
8.900000000000000000e+01 2.491569094232825546e-06 1.856575733732433492e-04
9.000000000000000000e+01 -5.808905471440715083e-06 2.159202326462372691e-04
9.100000000000000000e+01 9.774718926126358710e-06 2.363106781689476403e-04
9.200000000000000000e+01 4.191377340023325017e-05 2.072103133498944157e-04
9.300000000000000000e+01 6.967603827857635527e-05 1.003568551265269609e-04
9.400000000000000000e+01 6.931957577100035387e-05 -7.410400949503569232e-05
9.500000000000000000e+01 2.993408061198276184e-05 -2.623010013971797841e-04
9.600000000000000000e+01 -3.727162577004324186e-05 -3.909688028190361859e-04
9.700000000000000000e+01 -1.034996876222570733e-04 -4.068927342132792110e-04
9.800000000000000000e+01 -1.384604949449873648e-04 -3.057331955037747716e-04
9.900000000000000000e+01 -1.272952309356754289e-04 -1.318145215127410953e-04
1.000000000000000000e+02 -7.724347302517727454e-05 4.842581303290181778e-05
1.010000000000000000e+02 -1.107969361787576178e-05 1.801042565343377133e-04
1.020000000000000000e+02 4.679832029119209574e-05 2.398350122092857031e-04
1.030000000000000000e+02 8.150199702602389307e-05 2.340236846081646517e-04
1.040000000000000000e+02 9.001960971441452927e-05 1.844893780946020698e-04
1.050000000000000000e+02 7.735154609860276536e-05 1.151666024443034295e-04
1.060000000000000000e+02 5.174015798035190680e-05 4.543573027089597462e-05
1.070000000000000000e+02 2.171937246191152932e-05 -1.189994299834492336e-05
1.080000000000000000e+02 -5.327394721086054134e-06 -5.055069817656816989e-05
1.090000000000000000e+02 -2.411190223112361647e-05 -6.928448030619079837e-05
1.100000000000000000e+02 -3.228271336052659473e-05 -7.036354922838879242e-05
1.110000000000000000e+02 -3.066649891542289199e-05 -5.848527318735330675e-05
1.120000000000000000e+02 -2.249119339589364833e-05 -3.967862619281848626e-05
1.130000000000000000e+02 -1.188499097874508133e-05 -1.996426291518282005e-05
1.140000000000000000e+02 -2.448946858480724556e-06 -4.080159226725717104e-06
1.150000000000000000e+02 3.653834580651960134e-06 5.369982071129550422e-06
1.160000000000000000e+02 5.688073578940431340e-06 8.400499789894827897e-06
1.170000000000000000e+02 3.842039933470961892e-06 7.371399239144429014e-06
1.180000000000000000e+02 -8.923951907074595389e-07 5.544614903708833369e-06
1.190000000000000000e+02 -6.421345738657288609e-06 5.675070929739254771e-06
1.200000000000000000e+02 -9.787044586029600639e-06 9.018249384578853740e-06
1.210000000000000000e+02 -8.539539399749506869e-06 1.458701623812721428e-05
1.220000000000000000e+02 -2.442419698010523318e-06 1.941852480061934271e-05
1.230000000000000000e+02 6.052073576405206914e-06 2.027601889155568533e-05
1.240000000000000000e+02 1.311926581534228780e-05 1.569799179292987295e-05
1.250000000000000000e+02 1.570505527990410420e-05 6.739397186084914172e-06
1.260000000000000000e+02 1.296937162390136413e-05 -3.901962331057886145e-06
1.270000000000000000e+02 6.438666739973530137e-06 -1.307689152452244935e-05
1.280000000000000000e+02 -1.051715673709798387e-06 -1.838607051646140702e-05
1.290000000000000000e+02 -6.991097976820234662e-06 -1.918120809515930708e-05
1.300000000000000000e+02 -1.022847024955301294e-05 -1.650254139221145604e-05
1.310000000000000000e+02 -1.072942407586640492e-05 -1.202243734783127086e-05
1.320000000000000000e+02 -9.009103182605441112e-06 -7.057297415450999951e-06
1.330000000000000000e+02 -6.024000020782283118e-06 -2.436317481251295685e-06
1.340000000000000000e+02 -2.793269706044140174e-06 1.220185887570985683e-06
1.350000000000000000e+02 2.308604422875804499e-07 3.692850948146778721e-06
1.360000000000000000e+02 2.824652981587404477e-06 5.080126592449926724e-06
1.370000000000000000e+02 4.540997324163231136e-06 5.371095261223569034e-06
1.380000000000000000e+02 5.193034284748713958e-06 4.653016242153920721e-06
1.390000000000000000e+02 5.011469293836426081e-06 3.278717160537345885e-06
1.400000000000000000e+02 4.063368355511646450e-06 1.575245848218503425e-06
1.410000000000000000e+02 2.442877901741599504e-06 -8.731685849219618274e-08
1.420000000000000000e+02 7.381205793037111581e-07 -1.283156089778001996e-06
1.430000000000000000e+02 -5.077824527937652807e-07 -1.806040465722712953e-06
1.440000000000000000e+02 -1.295900123859775578e-06 -1.789688549581448795e-06
1.450000000000000000e+02 -1.683854767727234974e-06 -1.493512825808720603e-06
1.460000000000000000e+02 -1.521684439088027859e-06 -1.012333399894004691e-06
1.470000000000000000e+02 -1.088865195652756540e-06 -4.276647373352913587e-07
1.480000000000000000e+02 -9.316862974831202376e-07 -6.305415890150470378e-09
1.490000000000000000e+02 -8.424436179606990612e-07 2.481800629698698798e-07
1.500000000000000000e+02 -4.604077745487858205e-07 6.384111127806547547e-07
1.510000000000000000e+02 -9.992754110741921865e-08 1.098640218397549560e-06
1.520000000000000000e+02 1.616192493013847677e-07 1.248079149171061295e-06
1.530000000000000000e+02 7.044016007443465756e-07 1.091547585449491564e-06
1.540000000000000000e+02 1.293953475101834452e-06 8.580611192487909189e-07
1.550000000000000000e+02 1.358332150357926403e-06 4.307991929747341756e-07
1.560000000000000000e+02 1.018034404934640406e-06 -2.065593821124060892e-07
1.570000000000000000e+02 6.874382555761972756e-07 -5.922056893079022063e-07
1.580000000000000000e+02 3.418200182989061070e-07 -6.172767379885293789e-07
1.590000000000000000e+02 -1.609843817637452959e-07 -6.085479811250757054e-07
1.600000000000000000e+02 -6.476034844223745550e-07 -5.007354067788632399e-07
1.610000000000000000e+02 -8.353542449327316268e-07 -1.128958654312937653e-07
1.620000000000000000e+02 -7.916157999431917255e-07 2.817883959038350680e-07
1.630000000000000000e+02 -7.462075744262221058e-07 4.500614354152775021e-07
1.640000000000000000e+02 -6.408253239645405869e-07 5.267230847504417152e-07
1.650000000000000000e+02 -4.020221781829132797e-07 6.105136576459044543e-07
1.660000000000000000e+02 -2.204921944415222523e-07 5.650059318545945278e-07
1.670000000000000000e+02 -1.543746425227315630e-07 3.060764121189378316e-07
1.680000000000000000e+02 -1.728902726802999601e-08 -2.342569487076750447e-08
1.690000000000000000e+02 1.726128253476965815e-07 -2.561054890604645235e-07
1.700000000000000000e+02 1.705200555929392711e-07 -4.242072680717657143e-07
1.710000000000000000e+02 -1.340239926837912823e-08 -5.864292232327062398e-07
1.720000000000000000e+02 -1.298614786805944017e-07 -6.495590255285521702e-07
1.730000000000000000e+02 -1.154230792115563081e-07 -5.528127779422580853e-07
1.740000000000000000e+02 -8.436621404437788047e-08 -3.841515776220217801e-07
1.750000000000000000e+02 -7.734700976420615203e-08 -2.062542112866291594e-07
1.760000000000000000e+02 -8.742816354262480682e-08 -2.723719138879118896e-08
1.770000000000000000e+02 -7.883046339262603948e-08 1.165441665966320429e-07
1.780000000000000000e+02 -1.567763195067468901e-08 2.042870498738005389e-07
1.790000000000000000e+02 6.397523755330169563e-08 2.652413500427067510e-07
1.800000000000000000e+02 9.581038836827389826e-08 2.752717008542369908e-07
1.810000000000000000e+02 7.450013890768443345e-08 1.736608756830507359e-07
1.820000000000000000e+02 3.233900227829518605e-08 2.510786202490325627e-08
1.830000000000000000e+02 -1.357881223164733472e-08 -3.348626296075329816e-08
1.840000000000000000e+02 -4.389431976601114387e-08 -5.999823668133370333e-08
1.850000000000000000e+02 -4.805091890107747907e-08 -2.038314154312469898e-07
1.860000000000000000e+02 -7.034169297170865643e-08 -3.368205282314908527e-07
1.870000000000000000e+02 -1.365072646979208677e-07 -2.464831220156606500e-07
1.880000000000000000e+02 -2.042787782108475054e-07 -1.073821735121179402e-07
1.890000000000000000e+02 -2.080546023254159811e-07 -1.746078009329813407e-07
1.900000000000000000e+02 -1.460463142706570802e-07 -2.425710218561780762e-07
1.910000000000000000e+02 -8.172717124007229776e-08 -3.706787442945864566e-08
1.920000000000000000e+02 -5.309176115324182902e-08 1.506538715862718449e-07
1.930000000000000000e+02 -3.557563628742107296e-08 -1.716185679702431942e-09
1.940000000000000000e+02 -9.412210746934606313e-09 -1.351413406928305146e-07
1.950000000000000000e+02 1.293301407155736181e-08 8.213395061009426396e-08
1.960000000000000000e+02 2.316730950481267840e-08 1.651719854203619014e-07
1.970000000000000000e+02 2.635943786404749824e-08 -1.643060434039813655e-07
1.980000000000000000e+02 1.288701629844278792e-08 -2.244038358517369307e-07
1.990000000000000000e+02 -3.153601305279100365e-08 1.262206457401095019e-07
2.000000000000000000e+02 -9.517582375511758840e-08 1.336513730204141226e-08
2.010000000000000000e+02 -1.232311731444248539e-07 -4.180828501182289754e-07
2.020000000000000000e+02 -9.527412473591122082e-08 -1.620302134800912674e-07
2.030000000000000000e+02 -7.615774811829683168e-08 2.609963912898027992e-07
2.040000000000000000e+02 -1.104524176893440719e-07 -1.322841156797463908e-07
2.050000000000000000e+02 -1.245696189553302128e-07 -4.275788974937045257e-07
2.060000000000000000e+02 -7.035011119512833005e-08 1.263584928565455610e-07
2.070000000000000000e+02 -3.123561614628777734e-08 2.778230105975029658e-07
2.080000000000000000e+02 -5.045610966329380294e-08 -3.529032337812534457e-07
2.090000000000000000e+02 -4.577717525157458198e-08 -3.135248771103146334e-07
2.100000000000000000e+02 -8.518777090573719534e-09 3.368396665840140732e-07
2.110000000000000000e+02 -2.052741505202849492e-08 1.039498507505309993e-07
2.120000000000000000e+02 -6.001299865338957093e-08 -5.405995169778440583e-07
2.130000000000000000e+02 -5.582247844871555361e-08 -1.678718627260152706e-07
2.140000000000000000e+02 -4.730849306680467212e-08 4.131490332154781969e-07
2.150000000000000000e+02 -6.675834255394933460e-08 -7.734053081464113008e-08
2.160000000000000000e+02 -7.752420341505678012e-08 -5.462907181758736470e-07
2.170000000000000000e+02 -9.035460500960793500e-08 4.539577900479970956e-08
2.180000000000000000e+02 -1.063568666826931180e-07 3.462193700684306043e-07
2.190000000000000000e+02 -7.371474902389000648e-08 -3.020010487025189828e-07
2.200000000000000000e+02 -4.562665089572830541e-08 -3.773720807273387992e-07
2.210000000000000000e+02 -8.805775577770718307e-08 2.836070240293054217e-07
2.220000000000000000e+02 -1.018316207280930105e-07 1.602580837318925705e-07
2.230000000000000000e+02 -3.844633730922060440e-08 -4.218465352361564512e-07
2.240000000000000000e+02 -3.894611463943805613e-08 -1.635199020127045807e-07
2.250000000000000000e+02 -1.070612306772251641e-07 2.543996597258873657e-07
2.260000000000000000e+02 -7.926396327642891021e-08 -9.007672649239568928e-08
2.270000000000000000e+02 -1.533304163233453886e-08 -3.416041881582904333e-07
2.280000000000000000e+02 -7.510575106268396623e-08 1.287880046104060708e-08
2.290000000000000000e+02 -1.320074947772836395e-07 1.238303272854030526e-07
2.300000000000000000e+02 -6.405699573432794521e-08 -1.773735493745842695e-07
2.310000000000000000e+02 -3.735098353869181101e-08 -1.661267589660533168e-07
2.320000000000000000e+02 -1.105873911810106614e-07 6.896564255559353558e-08
2.330000000000000000e+02 -1.072169726921783218e-07 -2.080077966628734063e-08
2.340000000000000000e+02 -4.321684734103320924e-08 -1.835224893421578680e-07
2.350000000000000000e+02 -7.695811217847589292e-08 -4.013147561986244274e-08
2.360000000000000000e+02 -1.269102818878675352e-07 7.512608917059948888e-08
2.370000000000000000e+02 -7.251977831032177542e-08 -8.093821331263919738e-08
2.380000000000000000e+02 -4.505630716814401257e-08 -1.733616775364800768e-07
2.390000000000000000e+02 -1.084167620207756743e-07 -4.863809352146959541e-08
2.400000000000000000e+02 -1.129981594222376506e-07 2.759699623616002942e-08
2.410000000000000000e+02 -5.836090770667054424e-08 -3.678684319368967082e-08
2.420000000000000000e+02 -8.183907970495629061e-08 -8.790695944535051250e-08
2.430000000000000000e+02 -1.213946496438521698e-07 -7.729783909181144302e-08
2.440000000000000000e+02 -7.824047133825537369e-08 -5.724609552278661322e-08
2.450000000000000000e+02 -5.768784478621930033e-08 -3.416598389438106418e-08
2.460000000000000000e+02 -1.134038380730236324e-07 -9.313720211882107080e-09
2.470000000000000000e+02 -1.210304675547368780e-07 -1.923635244124005641e-08
2.480000000000000000e+02 -7.230472240504493034e-08 -8.045690122218899951e-08
2.490000000000000000e+02 -8.158191722525966297e-08 -1.205284535241208080e-07
2.500000000000000000e+02 -1.178393733738051327e-07 -4.925593005290564347e-08
2.510000000000000000e+02 -9.132614466798341667e-08 6.320219359059894800e-08
2.520000000000000000e+02 -6.464241589993674646e-08 4.250473034259800904e-08
2.530000000000000000e+02 -9.619130219831557367e-08 -7.910091319156866730e-08
2.540000000000000000e+02 -1.121415529745931862e-07 -9.361208358546172329e-08
2.550000000000000000e+02 -8.890133409166575042e-08 -1.575656830157413772e-10
2.560000000000000000e+02 -9.883748679582129849e-08 7.227343685781656480e-09
2.570000000000000000e+02 -1.292738612616876481e-07 -7.254467392134841231e-08
2.580000000000000000e+02 -1.146857785875849431e-07 -8.462981300620433840e-08
2.590000000000000000e+02 -8.228351077124558102e-08 -3.487539544954118022e-08
2.600000000000000000e+02 -8.165302882861684194e-08 -1.111854061533765668e-08
2.610000000000000000e+02 -8.426135513535347600e-08 1.315328417445393629e-08
2.620000000000000000e+02 -7.623902864769146662e-08 3.714000051783976014e-08
2.630000000000000000e+02 -9.932052064163177109e-08 -1.084923664107278582e-08
2.640000000000000000e+02 -1.407424252546745478e-07 -6.794376144268608261e-08
2.650000000000000000e+02 -1.355298661288041051e-07 -1.693255211983124621e-08
2.660000000000000000e+02 -9.236266736520496630e-08 5.823279581860114178e-08
2.670000000000000000e+02 -6.394886491070548137e-08 3.207200675836614666e-08
2.680000000000000000e+02 -5.093614585219406147e-08 -2.654265376570237236e-08
2.690000000000000000e+02 -5.627253388149106520e-08 -2.756535881290844551e-08
2.700000000000000000e+02 -1.171733528376495356e-07 -1.584482753897167178e-08
2.710000000000000000e+02 -1.792997477259687842e-07 -2.411368342351984349e-08
2.720000000000000000e+02 -1.397157422078227851e-07 -3.040691032205981350e-08
2.730000000000000000e+02 -5.973715746794978510e-08 -4.257171373706308006e-08
2.740000000000000000e+02 -7.838600738329947850e-08 -3.923270201234749933e-08
2.750000000000000000e+02 -1.335736856079596691e-07 4.486159490692544713e-08
2.760000000000000000e+02 -8.423498889577700242e-08 1.600183866910598185e-07
2.770000000000000000e+02 -4.789867677585143528e-09 1.778947383947785995e-07
2.780000000000000000e+02 -4.013908697152135362e-08 9.694056971577760111e-08
2.790000000000000000e+02 -1.225978437001011958e-07 -2.973191650401535241e-09
2.800000000000000000e+02 -1.311975253462276078e-07 -1.258348368550769301e-07
2.810000000000000000e+02 -1.180587430512150590e-07 -2.653323233243979655e-07
2.820000000000000000e+02 -1.363334937433131232e-07 -3.105914404072422307e-07
2.830000000000000000e+02 -1.038820091164658751e-07 -1.872134951201940472e-07
2.840000000000000000e+02 -1.914906553349041647e-08 8.969894578627952273e-08
2.850000000000000000e+02 -8.598570394961297269e-09 4.929187175693912179e-07
2.860000000000000000e+02 -7.335753964527407612e-08 8.510333694418134538e-07
2.870000000000000000e+02 -9.256136815577196857e-08 8.061188141875301900e-07
2.880000000000000000e+02 -8.824875652288194832e-08 2.107734767631825720e-07
2.890000000000000000e+02 -1.528066815743386645e-07 -6.043347891886322988e-07
2.900000000000000000e+02 -1.915558959125177405e-07 -1.134570444154646879e-06
2.910000000000000000e+02 -7.362318456003444396e-08 -1.081766529489594983e-06
2.920000000000000000e+02 8.297168050642011517e-08 -4.522100611100363631e-07
2.930000000000000000e+02 8.394177450456235844e-08 4.607314713057959531e-07
2.940000000000000000e+02 -4.301875359498116814e-08 1.172460803653237109e-06
2.950000000000000000e+02 -1.506374771992268185e-07 1.287314131612045739e-06
2.960000000000000000e+02 -1.867595849144593498e-07 7.467350268671803515e-07
2.970000000000000000e+02 -1.494125743854469806e-07 -1.673350772767493516e-07
2.980000000000000000e+02 -4.512466113103693980e-08 -9.783732183791730998e-07
2.990000000000000000e+02 3.617276026797119982e-08 -1.231121321960554106e-06
3.000000000000000000e+02 1.762315385264747621e-09 -7.597277537477865097e-07
3.010000000000000000e+02 -7.994386893656229358e-08 2.176067802440409325e-07
3.020000000000000000e+02 -8.534372977565376805e-08 1.234767170257340616e-06
3.030000000000000000e+02 -3.534156198074079922e-08 1.746809421232711423e-06
3.040000000000000000e+02 -2.439624821287044585e-08 1.348335723309540526e-06
3.050000000000000000e+02 -5.246726220427182880e-08 1.181430419422051765e-07
3.060000000000000000e+02 -5.524898956963585798e-08 -1.288378652834179520e-06
3.070000000000000000e+02 -2.517117604708051722e-08 -2.062527403135149331e-06
3.080000000000000000e+02 -1.388630949280967673e-08 -1.772926103209993370e-06
3.090000000000000000e+02 -3.185226845198443605e-08 -5.586852263754697230e-07
3.100000000000000000e+02 -4.292540142216289613e-08 9.711431712261132361e-07
3.110000000000000000e+02 -5.131726112566663128e-08 2.014331916597935461e-06
3.120000000000000000e+02 -7.446015120523477108e-08 1.994618230014751278e-06
3.130000000000000000e+02 -6.512741403753577974e-08 9.793510303950986462e-07
3.140000000000000000e+02 -2.225257673895800642e-09 -3.124014065132032699e-07
3.150000000000000000e+02 4.136270316573417801e-08 -1.099371428251750178e-06
3.160000000000000000e+02 2.641963305430900284e-08 -1.122914843540171578e-06
3.170000000000000000e+02 2.475176436692524928e-09 -6.095000660156960230e-07
3.180000000000000000e+02 -1.568596903942421780e-08 5.669275838762277001e-08
3.190000000000000000e+02 -5.668348773548467552e-08 5.116574321231316632e-07
3.200000000000000000e+02 -8.253201470314199313e-08 5.628315056557631384e-07
3.210000000000000000e+02 -3.421919732804627526e-08 3.177226486309435523e-07
3.220000000000000000e+02 4.042773338513367924e-08 3.767549465782290966e-08
3.230000000000000000e+02 5.470122769802707768e-08 -1.215254001864704848e-07
3.240000000000000000e+02 2.072970614654014749e-08 -1.426750482546974215e-07
3.250000000000000000e+02 -5.812230175150823513e-09 -3.823192536312207198e-08
3.260000000000000000e+02 -2.802899632903762900e-08 1.392988832059143791e-07
3.270000000000000000e+02 -4.661418978872352382e-08 2.879578149767913575e-07
3.280000000000000000e+02 -1.384739122456237107e-08 3.332839590358526203e-07
3.290000000000000000e+02 6.296559999240275076e-08 2.156291103127335441e-07
3.300000000000000000e+02 7.164212674193931395e-08 -7.828802121846381554e-08
3.310000000000000000e+02 -1.000311629481676318e-08 -3.755054069658404521e-07
3.320000000000000000e+02 -4.418197372075878376e-08 -4.279258673359212335e-07
3.330000000000000000e+02 -4.982739911713354416e-09 -1.562655613690128418e-07
3.340000000000000000e+02 1.361962643371381602e-08 2.942057873757265595e-07
3.350000000000000000e+02 3.878940647096589068e-08 6.449592914354901266e-07
3.360000000000000000e+02 8.684953322011628165e-08 6.530227251431411487e-07
3.370000000000000000e+02 5.881742665675816590e-08 2.624987698577624288e-07
3.380000000000000000e+02 -2.515003334552890359e-08 -3.191292516101405519e-07
3.390000000000000000e+02 -1.842843487201655860e-08 -6.797746372804548760e-07
3.400000000000000000e+02 4.975701486137732907e-08 -5.252669181354066156e-07
3.410000000000000000e+02 1.899672915749958024e-08 3.962134358320496280e-08
3.420000000000000000e+02 -4.766274951826285679e-08 5.881254646156122926e-07
3.430000000000000000e+02 -2.168168774929688399e-09 7.215353507727177782e-07
3.440000000000000000e+02 6.983606017841044056e-08 3.765305573113133605e-07
3.450000000000000000e+02 9.798726326865369499e-08 -1.980099038510615979e-07
3.460000000000000000e+02 1.538850652326316189e-07 -6.331988910822621782e-07
3.470000000000000000e+02 1.480500574260847575e-07 -5.994512811058777675e-07
3.480000000000000000e+02 -4.926766451282822343e-08 -7.753128527263445113e-08
3.490000000000000000e+02 -2.342229203141743338e-07 5.135871441240429968e-07
3.500000000000000000e+02 -1.473430740145883442e-07 6.999622554809727863e-07
3.510000000000000000e+02 7.829959176776498851e-08 4.217047618019115384e-07
3.520000000000000000e+02 2.046886425743074088e-07 -3.170199665512757484e-08
3.530000000000000000e+02 2.521052946749015862e-07 -3.722391209855187453e-07
3.540000000000000000e+02 2.227891839223772685e-07 -4.304843166418088948e-07
3.550000000000000000e+02 1.020454976642013632e-08 -1.752465304190552536e-07
3.560000000000000000e+02 -2.250369629941351208e-07 1.798699801197400074e-07
3.570000000000000000e+02 -1.874738208243775264e-07 3.177216254203387574e-07
3.580000000000000000e+02 3.754507826483841812e-08 1.774513044017381278e-07
3.590000000000000000e+02 1.548283712521211940e-07 -1.610853829759715836e-08
3.600000000000000000e+02 1.493132461416912221e-07 -8.992469109090124357e-08
3.610000000000000000e+02 1.403873954344124162e-07 -7.148435427118870916e-08
3.620000000000000000e+02 7.778445524694593066e-08 -2.615043464764831194e-08
3.630000000000000000e+02 -4.895785102824875678e-08 3.073304035023793364e-08
3.640000000000000000e+02 -7.842709658944416204e-08 6.971716022623380446e-08
3.650000000000000000e+02 2.109257439258018561e-08 6.473875575757040555e-08
3.660000000000000000e+02 8.681809839038828886e-08 4.192743441289707089e-08
3.670000000000000000e+02 7.471580002886236438e-08 2.911512732210389273e-08
3.680000000000000000e+02 7.941113273445702546e-08 2.767193615959632401e-09
3.690000000000000000e+02 8.773234434668125290e-08 -5.702102812099705561e-08
3.700000000000000000e+02 3.051252143302594659e-08 -9.582566122395777613e-08
3.710000000000000000e+02 -2.865283580766300366e-08 -3.735116147590352560e-08
3.720000000000000000e+02 -6.849195177074609919e-09 8.720430780777242070e-08
3.730000000000000000e+02 4.948625232531388725e-08 1.461346560490645960e-07
