case,method,resolution,repeat,wall_seconds,cpu_time_used,zonecycles_per_cpu_second,final_cycle,first_dt,rms_l1,linfty
hydro_conduction,sts,128,2,0.09744383301585913,0.08413546,832181.8,547,0.007324182,8.565206e-12,1.432552e-13
hydro_conduction,sts,128,3,0.08957050001481548,0.07941917,881600.8,547,0.007324182,8.565206e-12,1.432552e-13
hydro_conduction,sts,128,4,0.09479691600427032,0.08133288,860857.3,547,0.007324182,8.565206e-12,1.432552e-13
hydro_conduction,sts,128,5,0.09026958301546983,0.07688812,910621.8,547,0.007324182,8.565206e-12,1.432552e-13
hydro_conduction,sts,256,1,0.34161758300615475,0.328401,1703284.0,2185,0.001831046,2.129516e-12,1.818164e-14
hydro_conduction,sts,256,2,0.34080045801238157,0.3289511,1700435.0,2185,0.001831046,2.129516e-12,1.818164e-14
hydro_conduction,sts,256,3,0.3431820409896318,0.3306665,1691614.0,2185,0.001831046,2.129516e-12,1.818164e-14
hydro_conduction,sts,256,4,0.33936016701045446,0.3280065,1705332.0,2185,0.001831046,2.129516e-12,1.818164e-14
hydro_conduction,sts,256,5,0.36862541700247675,0.3538378,1580837.0,2185,0.001831046,2.129516e-12,1.818164e-14
mhd_resistivity,explicit,64,1,0.0678094580071047,0.05807025,903733.0,820,0.004882812,4.000532e-11,6.884284e-13
mhd_resistivity,explicit,64,2,0.0717188749986235,0.06156092,852488.9,820,0.004882812,4.000532e-11,6.884284e-13
mhd_resistivity,explicit,64,3,0.07121529200230725,0.06098137,860590.6,820,0.004882812,4.000532e-11,6.884284e-13
mhd_resistivity,explicit,64,4,0.07044487501843832,0.05903854,888910.8,820,0.004882812,4.000532e-11,6.884284e-13
mhd_resistivity,explicit,64,5,0.07472658401820809,0.06030525,870239.3,820,0.004882812,4.000532e-11,6.884284e-13
mhd_resistivity,explicit,128,1,0.22003066600882448,0.210703,1990745.0,3277,0.001220703,9.95288e-12,8.56709e-14
mhd_resistivity,explicit,128,2,0.31117845900007524,0.2967848,1413334.0,3277,0.001220703,9.95288e-12,8.56709e-14
mhd_resistivity,explicit,128,3,0.23221024998929352,0.2213717,1894804.0,3277,0.001220703,9.95288e-12,8.56709e-14
mhd_resistivity,explicit,128,4,0.2245384170091711,0.2114444,1983765.0,3277,0.001220703,9.95288e-12,8.56709e-14
mhd_resistivity,explicit,128,5,0.22493100000428967,0.2126517,1972502.0,3277,0.001220703,9.95288e-12,8.56709e-14
mhd_resistivity,explicit,256,1,0.9363830419897567,0.9227184,3636698.0,13108,0.0003051758,2.481378e-12,1.06911e-14
mhd_resistivity,explicit,256,2,0.9540315000049304,0.9402165,3569016.0,13108,0.0003051758,2.481378e-12,1.06911e-14
mhd_resistivity,explicit,256,3,0.9399856249801815,0.9253045,3626534.0,13108,0.0003051758,2.481378e-12,1.06911e-14
mhd_resistivity,explicit,256,4,0.9388446249940898,0.9232779,3634494.0,13108,0.0003051758,2.481378e-12,1.06911e-14
mhd_resistivity,explicit,256,5,0.9337195420230273,0.9238652,3632184.0,13108,0.0003051758,2.481378e-12,1.06911e-14
mhd_resistivity,sts,64,1,0.05950083301286213,0.04606271,143109.3,103,0.0390625,3.591092e-11,7.092263e-13
mhd_resistivity,sts,64,2,0.050318958004936576,0.03675721,179339.0,103,0.0390625,3.591092e-11,7.092263e-13
mhd_resistivity,sts,64,3,0.05225895799230784,0.03846188,171390.5,103,0.0390625,3.591092e-11,7.092263e-13
mhd_resistivity,sts,64,4,0.052057916997000575,0.038217,172488.7,103,0.0390625,3.591092e-11,7.092263e-13
mhd_resistivity,sts,64,5,0.05133304200717248,0.03736429,176425.1,103,0.0390625,3.591092e-11,7.092263e-13
mhd_resistivity,sts,128,1,0.17110512501676567,0.1581443,331848.8,410,0.009765625,9.506087e-12,8.968579e-14
mhd_resistivity,sts,128,2,0.17657312500523403,0.1627513,322455.2,410,0.009765625,9.506087e-12,8.968579e-14
mhd_resistivity,sts,128,3,0.17354383401107043,0.1596764,328664.7,410,0.009765625,9.506087e-12,8.968579e-14
mhd_resistivity,sts,128,4,0.17268408299423754,0.1615712,324810.4,410,0.009765625,9.506087e-12,8.968579e-14
mhd_resistivity,sts,128,5,0.1677864580124151,0.1564669,335406.4,410,0.009765625,9.506087e-12,8.968579e-14
mhd_resistivity,sts,256,1,0.7068011249939445,0.6928955,605551.6,1639,0.002441406,2.454568e-12,1.127594e-14
mhd_resistivity,sts,256,2,0.7102873339899816,0.7001793,599252.2,1639,0.002441406,2.454568e-12,1.127594e-14
mhd_resistivity,sts,256,3,0.7236028329934925,0.7103267,590691.6,1639,0.002441406,2.454568e-12,1.127594e-14
mhd_resistivity,sts,256,4,0.697775708977133,0.6843132,613146.1,1639,0.002441406,2.454568e-12,1.127594e-14
mhd_resistivity,sts,256,5,0.7019720000098459,0.6906698,607503.1,1639,0.002441406,2.454568e-12,1.127594e-14
