branch,coarse_nx1,fine_nx1,rms_order,linfty_order
bg_subtract,32,64,2.003022398837901,2.9965172758653464
bg_subtract,64,128,2.0007974342357113,2.99859076435261
project_bbh,32,64,2.0029992161605694,2.9965433096100207
project_bbh,64,128,2.0008778045176,2.996706794245083
